colegio_id,codigo,nombre,descripcion,nivel,grado,horas_semanales,es_area_desarrollo,es_especialidad,es_tecnica,mencion,activo
"1,MG-ING5,""Lenguas Extranjeras (Inglés)"","""",MEDIA_GENERAL,""5to Año"",4,0,0,0,,1"
"1,MG-MAT5,""Matemática"","""",MEDIA_GENERAL,""5to Año"",4,0,0,0,,1"
"1,MG-BIO5,""Biología"","""",MEDIA_GENERAL,""5to Año"",4,0,0,0,,1"
"1,MG-FIS5,""Física"","""",MEDIA_GENERAL,""5to Año"",4,0,0,0,,1"
"1,MG-QUI5,""Química"","""",MEDIA_GENERAL,""5to Año"",4,0,0,0,,1"
"1,MG-EDF5,""Educación Física y Deporte"","""",MEDIA_GENERAL,""5to Año"",3,0,0,0,,1"
"1,MG-GHC5,""Geografía, Historia y Ciudadanía"","""",MEDIA_GENERAL,""5to Año"",4,0,0,0,,1"
"1,MG-FSN5,""Formación para la Soberanía Nacional"",""Premilitar"",MEDIA_GENERAL,""5to Año"",2,0,0,0,,1"
"1,MG-OYC5,""Orientación y Convivencia"","""",MEDIA_GENERAL,""5to Año"",2,0,0,0,,1"
"1,MG-GCR5,""Grupos de Creación, Recreación y Producción"","""",MEDIA_GENERAL,""5to Año"",2,0,0,0,,1"
